,function,starttime,endtime,status
0,"RE Kaskad, S Matsal RB",2026-06-02T15:30:00+02:00,2026-06-02T23:00:00+02:00,Ledighet
1,"RE Kaskad, S Matsal RB",2026-06-03T11:30:00+02:00,2026-06-03T16:00:00+02:00,Ledighet
2,"RE Kaskad, S Matsal RB",2026-06-04T16:00:00+02:00,2026-06-04T22:30:00+02:00,Ledighet
3,"RE Kaskad, S Matsal RB",2026-06-05T11:30:00+02:00,2026-06-05T23:00:00+02:00,Aktiv
4,"RE Kaskad, S Matsal RB",2026-06-08T16:00:00+02:00,2026-06-08T22:30:00+02:00,Aktiv
5,"RE Kaskad, S Matsal RB",2026-06-09T16:00:00+02:00,2026-06-09T22:30:00+02:00,Aktiv
6,"RE Kaskad, S Matsal RB",2026-06-10T11:30:00+02:00,2026-06-10T16:00:00+02:00,Aktiv
7,"RE Classic, S Matsal RB",2026-06-12T11:00:00+02:00,2026-06-12T16:00:00+02:00,Aktiv
8,"RE Kaskad, S Matsal RB",2026-06-13T11:30:00+02:00,2026-06-13T16:00:00+02:00,Aktiv
9,"RE Kaskad, S Matsal RB",2026-06-15T16:00:00+02:00,2026-06-15T22:30:00+02:00,Aktiv
10,"RE Kaskad, S Matsal RB",2026-06-20T12:00:00+02:00,2026-06-20T16:00:00+02:00,Ledighet
11,"RE Kaskad, S Matsal RB",2026-06-23T16:00:00+02:00,2026-06-23T21:00:00+02:00,Ledighet
12,"RE Kaskad, S Matsal RB",2026-06-24T16:00:00+02:00,2026-06-24T22:30:00+02:00,Ledighet
13,"RE Kaskad, S Matsal RB",2026-06-25T16:00:00+02:00,2026-06-25T22:30:00+02:00,Ledighet
14,"RE Kaskad, S Matsal RB",2026-06-26T16:00:00+02:00,2026-06-26T22:30:00+02:00,Ledighet
15,"RE Kaskad, S Matsal RB",2026-06-29T12:00:00+02:00,2026-06-29T16:00:00+02:00,Ledighet
16,"RE Kaskad, S Matsal RB",2026-06-30T16:00:00+02:00,2026-06-30T22:30:00+02:00,Ledighet
17,"RE Kaskad, S Matsal RB",2026-07-01T11:30:00+02:00,2026-07-01T16:00:00+02:00,Ledighet
18,"RE Kaskad, S Matsal RB",2026-07-04T16:00:00+02:00,2026-07-04T22:30:00+02:00,Aktiv
19,"RE Kaskad, S Matsal RB",2026-07-05T11:30:00+02:00,2026-07-05T16:00:00+02:00,Aktiv
